@relation 'as.data.frame(data)'
@attribute 'sepallength' numeric
@attribute 'sepalwidth' numeric
@attribute 'petallength' numeric
@attribute 'petalwidth' numeric
@attribute 'class' {'Iris-setosa','Iris-versicolor','Iris-virginica'}
@data
5.11333333333333,3.48,1.28,0.16,"Iris-setosa"
4.94666666666667,2.90666666666667,1.28,0.16,"Iris-setosa"
4.6,3.16666666666667,1.28,0.16,"Iris-setosa"
4.6,3.04666666666667,1.44666666666667,0.16,"Iris-setosa"
4.94666666666667,3.48,1.28,0.16,"Iris-setosa"
5.45333333333333,3.89333333333333,1.56,0.3,"Iris-setosa"
4.6,3.32,1.28,0.3,"Iris-setosa"
4.94666666666667,3.32,1.44666666666667,0.16,"Iris-setosa"
4.6,2.90666666666667,1.44666666666667,0.16,"Iris-setosa"
4.94666666666667,3.04666666666667,1.44666666666667,0.16,"Iris-setosa"
5.45333333333333,3.89333333333333,1.44666666666667,0.16,"Iris-setosa"
4.6,3.32,1.56,0.16,"Iris-setosa"
4.6,2.90666666666667,1.44666666666667,0.16,"Iris-setosa"
4.6,2.90666666666667,1.28,0.16,"Iris-setosa"
5.68,3.89333333333333,1.28,0.2,"Iris-setosa"
5.68,3.89333333333333,1.44666666666667,0.3,"Iris-setosa"
5.45333333333333,3.89333333333333,1.28,0.3,"Iris-setosa"
5.11333333333333,3.48,1.44666666666667,0.3,"Iris-setosa"
5.68,3.89333333333333,2.96,0.3,"Iris-setosa"
5.11333333333333,3.89333333333333,1.44666666666667,0.3,"Iris-setosa"
5.45333333333333,3.32,2.96,0.2,"Iris-setosa"
5.11333333333333,3.89333333333333,1.44666666666667,0.3,"Iris-setosa"
4.6,3.48,1.28,0.2,"Iris-setosa"
5.11333333333333,3.32,2.96,0.84,"Iris-setosa"
4.6,3.32,2.96,0.2,"Iris-setosa"
4.94666666666667,3,1.56,0.2,"Iris-setosa"
4.94666666666667,3.32,1.56,0.84,"Iris-setosa"
5.11333333333333,3.48,1.56,0.2,"Iris-setosa"
5.11333333333333,3.48,1.44666666666667,0.2,"Iris-setosa"
4.6,3.16666666666667,1.56,0.2,"Iris-setosa"
4.6,3.04666666666667,1.56,0.2,"Iris-setosa"
5.45333333333333,3.48,1.56,0.84,"Iris-setosa"
