@relation 'as.data.frame(data)'
@attribute 'sepallength' numeric
@attribute 'sepalwidth' numeric
@attribute 'petallength' numeric
@attribute 'petalwidth' numeric
@attribute 'class' {'Iris-setosa','Iris-versicolor','Iris-virginica'}
@data
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,2.604,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
5.81,3.528,1.464,0.244,"Iris-setosa"
5.81,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
5.81,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
5.81,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
5.81,3.528,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
5.81,3.528,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,2.604,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.03,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
4.936,3.528,1.464,0.244,"Iris-setosa"
